layer,latent_mult,k,context_mode,target,n_receivers,estimate,ci_low,ci_high,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage
26,4,8,role,top5,1309,-0.0002606434276579341,-0.00047302678016827377,-4.6300124505074945e-05,0.0041384787346407815,0.003602124483099044,0.004575607736116147,0.004299896912232344,-0.0005363542515417377,-0.0002757108238838034
26,4,8,team,top5,1309,-0.0003042326823184294,-0.0005291567388224746,-6.99908343820396e-05,0.004137231488096702,0.0035792059166181865,0.00456345763208303,0.004309664742922943,-0.0005580255714785153,-0.0002537928891600868
26,4,8,dept,top5,1309,-0.0003629699633993905,-0.0005612018601392553,-0.00016256691340137575,0.0042096364921609085,0.003669569392619555,0.0044924466322176825,0.004315349496075715,-0.0005400670995413534,-0.00017709713614196768
26,4,8,role,top3,1309,-0.0004498244379202386,-0.0006878356179656475,-0.00019778689644188918,0.0034911712450868162,0.002765635983282773,0.004575607736116147,0.004299896912232344,-0.0007255352618040431,-0.0002757108238838034
26,4,8,team,top3,1309,-0.00047132396761746245,-0.000741873926862309,-0.00020365680392185324,0.0036378469833260323,0.002912730126548485,0.00456345763208303,0.004309664742922943,-0.0007251168567775474,-0.0002537928891600868
26,4,8,dept_role,top5,1309,-0.000496884183268038,-0.0007234023233649347,-0.0002739530512059866,0.004249086969221153,0.003625496072200889,0.004527853077563552,0.004401146363811328,-0.0006235908970202639,-0.00012670671375222386
26,4,8,dept,top3,1309,-0.000509916700143863,-0.0007321548747073753,-0.0002888295657198469,0.0034419121156674974,0.0027548982793816693,0.0044924466322176825,0.004315349496075715,-0.0006870138362858281,-0.00017709713614196768
26,4,8,dept,top1,1309,-0.0005460857912454089,-0.0007436717992023789,-0.00034082771269668404,0.01291848218240657,0.012195299255019193,0.0044924466322176825,0.004315349496075715,-0.0007231829273873763,-0.00017709713614196768
26,4,8,dept_role,top3,1309,-0.0005776549656032292,-0.0008253504527125097,-0.0003218823086222729,0.0035097196276994706,0.002805357948344018,0.004527853077563552,0.004401146363811328,-0.0007043616793554527,-0.00012670671375222386
26,4,8,role,top1,1309,-0.0006092086240842715,-0.000852084910885534,-0.00037202335142788405,0.012907002755847014,0.012022083307878939,0.004575607736116147,0.004299896912232344,-0.0008849194479680755,-0.0002757108238838034
26,4,8,team,top1,1309,-0.0007246797712273607,-0.0009895919580965964,-0.0004563765117942718,0.013086136888692713,0.012107664228305266,0.00456345763208303,0.004309664742922943,-0.0009784726603874472,-0.0002537928891600868
26,4,8,dept_role,top1,1309,-0.0007374771707744589,-0.0009874730223663163,-0.0005012136134849055,0.012939956417695712,0.012075772533169032,0.004527853077563552,0.004401146363811328,-0.0008641838845266803,-0.00012670671375222386
