run_name,score_name,fold,heldout_pos_user,n_test_rows,n_test_pos_rows,day_pr_auc,day_roc_auc,day_top1_recall,n_test_users,n_test_pos_users,user_pr_auc,user_roc_auc,user_top1pct_recall,heldout_user_rank
qwen3_8b_r62_fold_aligned,adapted_nll,0,ACM2278,283000,5,0.00011765898089323325,0.9151158147670453,0.0,801,1,0.03333333333333333,0.96375,0.0,30
qwen3_8b_r62_fold_aligned,base_nll,0,ACM2278,283000,5,1.2604201407292096e-05,0.2048064453435573,0.0,801,1,0.0018181818181818182,0.31375,0.0,550
qwen3_8b_r62_fold_aligned,neg_delta_nll,0,ACM2278,283000,5,1.1428103396814683e-05,0.10772981854803089,0.0,801,1,0.0013550135501355014,0.07874999999999999,0.0,738
qwen3_8b_r62_fold_aligned,adapted_nll,1,CDE1846,280079,46,0.0019720797892664615,0.9609401624870609,0.0,801,1,0.03333333333333333,0.96375,0.0,30
qwen3_8b_r62_fold_aligned,base_nll,1,CDE1846,280079,46,0.00013116917594383843,0.4229534516040734,0.0,801,1,0.0014347202295552368,0.13,0.0,697
qwen3_8b_r62_fold_aligned,neg_delta_nll,1,CDE1846,280079,46,0.00011269724461157093,0.27974513562764886,0.0,801,1,0.001326259946949602,0.05874999999999997,0.0,754
qwen3_8b_r62_fold_aligned,adapted_nll,2,CMP2946,278317,18,0.0006019888597607169,0.9474891313938525,0.0,801,1,0.037037037037037035,0.9675,0.0,27
qwen3_8b_r62_fold_aligned,base_nll,2,CMP2946,278317,18,4.798519899159273e-05,0.3177735297487794,0.0,801,1,0.004524886877828055,0.725,0.0,221
qwen3_8b_r62_fold_aligned,neg_delta_nll,2,CMP2946,278317,18,3.6115380153443856e-05,0.07202525181748964,0.0,801,1,0.0013477088948787063,0.07374999999999998,0.0,742
qwen3_8b_r62_fold_aligned,adapted_nll,3,MBG3183,280240,1,0.000326797385620915,0.9890843173148633,0.0,801,1,0.1111111111111111,0.99,0.0,9
qwen3_8b_r62_fold_aligned,base_nll,3,MBG3183,280240,1,3.451965894576962e-05,0.8966310898911287,0.0,801,1,0.030303030303030304,0.9600000000000001,0.0,33
qwen3_8b_r62_fold_aligned,neg_delta_nll,3,MBG3183,280240,1,5.624613307835086e-06,0.3655808078104761,0.0,801,1,0.0013123359580052493,0.04874999999999996,0.0,762
