layer,latent_mult,k,context_mode,target,n_receivers,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage,top_minus_control_advantage
18,2,4,team,top1,70,-0.03991054594516754,-0.04302466213703156,0.0012397881065096174,-0.001671602896281651,-0.003114116191864018,-0.0029113910027912682,-0.0002027251890727496
18,2,4,team,top3,70,-0.052281555533409116,-0.05736900610583169,0.0012397881065096174,-0.001671602896281651,-0.005087450572422575,-0.0029113910027912682,-0.0021760595696313067
18,2,4,team,top5,70,-0.05272478333541325,-0.05874910908085959,0.0012397881065096174,-0.001671602896281651,-0.006024325745446341,-0.0029113910027912682,-0.0031129347426550723
18,2,4,role,top1,70,-0.03603618911334446,-0.040861662796565466,0.0012397881065096174,0.0012397881065096174,-0.004825473683221004,0.0,-0.004825473683221004
18,2,4,project_role,top1,70,-0.035959246754646304,-0.040861662796565466,0.0012397881065096174,0.0012397881065096174,-0.004902416041919162,0.0,-0.004902416041919162
18,2,4,dept_role,top1,70,-0.03583511199269976,-0.040861662796565466,0.0012397881065096174,0.0012397881065096174,-0.005026550803865708,0.0,-0.005026550803865708
18,2,4,role,top3,70,-0.04137443389211382,-0.05591060859816415,0.0012397881065096174,0.0012397881065096174,-0.014536174706050328,0.0,-0.014536174706050328
18,2,4,project_role,top3,70,-0.040690434404781886,-0.05591060859816415,0.0012397881065096174,0.0012397881065096174,-0.015220174193382265,0.0,-0.015220174193382265
18,2,4,dept_role,top3,70,-0.039282041362353734,-0.05591060859816415,0.0012397881065096174,0.0012397881065096174,-0.016628567235810417,0.0,-0.016628567235810417
18,2,4,role,top5,70,-0.03999326016221728,-0.0573051175900868,0.0012397881065096174,0.0012397881065096174,-0.017311857427869524,0.0,-0.017311857427869524
18,2,4,project_role,top5,70,-0.039377496923719134,-0.0573051175900868,0.0012397881065096174,0.0012397881065096174,-0.017927620666367668,0.0,-0.017927620666367668
18,2,4,dept_role,top5,70,-0.038205412455967494,-0.0573051175900868,0.0012397881065096174,0.0012397881065096174,-0.019099705134119307,0.0,-0.019099705134119307
